,Snaizeholme MA,Malham Tarn MA,East Cowton MA,Arkengarthdale MA,Skelton T-1,Crakehill,Skip Bridge,Westwick,Skelton
1996-10-13,0.11334922526817648,0.10168598524762903,0.11659751037344396,0.10000000000000003,0.11125915349994145,0.10708506450907501,0.10670368500757194,0.10711777976532152,0.1080466960392074
1993-08-29,0.10000000000000007,0.10168598524762906,0.1,0.1,0.11759256677244664,0.11123988628908814,0.11430590610802625,0.10728864919704717,0.11372798747091624
1994-02-05,0.132419547079857,0.1033719704952581,0.2095435684647303,0.16738491674828598,0.4150109033312327,0.3655587141919966,0.4049772841998991,0.2713767003510833,0.3477122271076448
1995-07-07,0.11144219308700838,0.11685985247629081,0.10331950207468883,0.1,0.10611255807209027,0.10664771484802099,0.10340232205956588,0.10299021505519884,0.10460659847076773
1993-02-09,0.10381406436233605,0.11348788198103267,0.12987551867219918,0.10470127326150831,0.17256097220905395,0.15606822654712443,0.15053003533568907,0.12938153275219927,0.15801181802225894
1994-02-04,0.2754469606674613,0.20621707060063219,0.24937759336099585,0.21283055827619982,0.3195300692124504,0.2649682921495736,0.3068349318525997,0.19620482973128112,0.35419278767613405
1994-04-17,0.10000000000000006,0.10168598524762906,0.10000000000000002,0.1031341821743389,0.1705978148720323,0.1442597856986661,0.16913679959616357,0.13173365727329767,0.15126123409674938
1994-07-27,0.18581644815256262,0.24162276080084297,0.2676348547717843,0.14231145935357495,0.11106506862684953,0.10682265471244261,0.10993437657748613,0.10446930357357398,0.1104499039166888
1995-08-02,0.12479141835518479,0.11854583772391988,0.10000000000000003,0.1,0.1040088565166227,0.10253662803411329,0.10097930338213024,0.10289410099985316,0.1027722397987426
1996-12-31,0.12288438617401679,0.12191780821917803,0.19294605809128626,0.15328109696376105,0.16823310262516522,0.16000437349661056,0.152226148409894,0.13284163874464366,0.16431236301940116
1993-07-14,0.15911799761620984,0.18261327713382508,0.12323651452282158,0.13134182174338885,0.11467013937301664,0.10887819811939646,0.11002523977788996,0.10718185580221865,0.11239587224294902
1996-07-28,0.10000000000000007,0.11180189673340353,0.1,0.10000000000000002,0.10454649392369342,0.1032363874917997,0.10412922766279657,0.10161525009678152,0.10363631454120782
1996-06-03,0.10190703218116813,0.44478398314014755,0.12323651452282158,0.1031341821743389,0.1312677423132909,0.12440411108681391,0.11637556789500253,0.11757285311903459,0.12098261499619717
1994-07-16,0.10381406436233616,0.10505795574288723,0.1132780082987552,0.1,0.10881413027110534,0.10494205116991034,0.10671378091872792,0.10351083285498792,0.10673258236837486
1993-02-01,0.12479141835518469,0.12528977871443625,0.12987551867219918,0.10156709108716944,0.23484660044728756,0.18755740214301336,0.20920747097425543,0.16518668820333463,0.19439296499147177
1996-12-10,0.1000000000000001,0.14889357218124336,0.1,0.10156709108716946,0.19890743601612915,0.1967417450251476,0.1632306915699142,0.14915165996983087,0.16438436924793995
1994-07-05,0.10762812872467228,0.11348788198103264,0.1,0.10156709108716945,0.11121230542712615,0.1069538596107588,0.10847046945986875,0.10560131355875639,0.10938061142288809
1995-03-16,0.12097735399284865,0.14214963119072704,0.1298755186721992,0.10940254652301666,0.22199684333223652,0.18537065383774332,0.16900555275113582,0.1631656232062047,0.18251193728257495
1995-02-10,0.14576877234803337,0.16069546891464695,0.149792531120332,0.11253672869735554,0.2633346904402046,0.2063634375683359,0.21059061080262498,0.1691513929863438,0.23693064450074933
1996-01-02,0.11907032181168066,0.14046364594309796,0.13983402489626556,0.1517140058765916,0.13387784922728566,0.12912748742619726,0.12158505805148916,0.11480957402784639,0.1314775228057227
1996-01-21,0.10762812872467234,0.11011591148577445,0.10000000000000002,0.10783545543584722,0.15346480538529753,0.14382243603761208,0.12848056537102476,0.12615370239350698,0.14224245397226862
1993-12-19,0.264004767580453,0.23993677555321385,0.1,0.1407443682664055,0.49152942226287355,0.484955171659742,0.3588389702170621,0.44338081189678413,0.622415988983047
1994-07-10,0.10000000000000005,0.10168598524762906,0.1,0.1,0.11180571434945316,0.10699759457686421,0.10827864714790511,0.10468823003297247,0.10850573574614204
1995-09-12,0.22586412395709182,0.20958904109589038,0.6493775933609958,0.16581782566111655,0.12548981333273845,0.12694073912092718,0.12891468955073196,0.10701632604023442,0.12704913975058843
1993-10-06,0.15911799761620984,0.19441517386722865,0.32240663900414934,0.20342801175318315,0.24729480265249326,0.2033019899409578,0.25282180716809693,0.18558956628532525,0.3334909969712381
